,result
0,额B-COMMENTS_N 度I-COMMENTS_N 年B-COMMENTS_N 费I-COMMENTS_N 欢I-COMMENTS_ADJ 广B-BANK 发I-BANK 风B-COMMENTS_N 控I-COMMENTS_N
1,浦B-BANK 发I-BANK 好B-COMMENTS_ADJ 心I-COMMENTS_ADJ
2,分B-PRODUCT 期I-PRODUCT 提B-COMMENTS_N 额I-COMMENTS_N
3,首B-PRODUCT 卡I-PRODUCT 卡I-PRODUCT 邮B-BANK 政I-BANK 授B-COMMENTS_N 信I-COMMENTS_N 额B-COMMENTS_N 度I-COMMENTS_N
4,浦B-BANK 发I-BANK
5,低I-COMMENTS_ADJ
6,激B-COMMENTS_N 活I-COMMENTS_N 储B-PRODUCT 蓄I-PRODUCT 卡I-PRODUCT
7,额B-COMMENTS_N 度I-COMMENTS_N
8,额B-COMMENTS_N 度I-COMMENTS_N
9,中B-BANK 信I-BANK
10,下B-COMMENTS_N 卡I-COMMENTS_N 招B-BANK 行I-BANK 很B-COMMENTS_ADJ 快I-COMMENTS_ADJ
11,鼎B-PRODUCT 至I-PRODUCT 鼎B-PRODUCT 雅I-PRODUCT 鼎B-PRODUCT 至I-PRODUCT 鼎B-PRODUCT 雅I-PRODUCT
12,恒B-BANK 丰I-PRODUCT 美B-PRODUCT 食I-PRODUCT 卡I-PRODUCT
13,厉B-COMMENTS_ADJ 害I-COMMENTS_ADJ 不B-COMMENTS_ADJ 靠B-COMMENTS_ADJ 谱I-COMMENTS_ADJ 理B-PRODUCT 财I-PRODUCT
14,招B-BANK 行I-BANK
15,征B-PRODUCT 信I-PRODUCT
16,尬I-COMMENTS_ADJ
17,交B-BANK 通I-BANK 银I-BANK 行I-BANK
18,很B-COMMENTS_ADJ
19,致I-PRODUCT 鼎B-PRODUCT 雅I-PRODUCT
20,卡B-PRODUCT
21,激B-COMMENTS_N 活I-COMMENTS_N
22,消B-COMMENTS_N 费I-COMMENTS_N 提B-COMMENTS_N 额I-COMMENTS_N 临B-COMMENTS_N 额I-COMMENTS_N
23,利B-COMMENTS_N 息I-COMMENTS_N 利B-COMMENTS_N 息I-COMMENTS_N
24,太B-COMMENTS_ADJ 低I-COMMENTS_ADJ
25,卡B-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
26,过B-COMMENTS_ADJ
27,额B-COMMENTS_N 度I-COMMENTS_N 低I-COMMENTS_ADJ
28,
