,result
0,额B-COMMENTS_N 度I-COMMENTS_N
1,浦B-BANK 发I-BANK 好I-COMMENTS_N
2,额I-COMMENTS_N
3,卡I-PRODUCT 显B-PRODUCT 示I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
4,浦B-BANK 发I-BANK
5,只B-COMMENTS_N 有I-COMMENTS_ADJ 比B-COMMENTS_N 性I-COMMENTS_N
6,激B-COMMENTS_N 活I-COMMENTS_N 便B-COMMENTS_ADJ 办I-BANK 储B-PRODUCT 蓄I-PRODUCT 卡I-PRODUCT
7,额B-COMMENTS_N 度I-COMMENTS_N
8,便I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N 便B-COMMENTS_ADJ 批B-COMMENTS_ADJ
9,中B-COMMENTS_N 信I-COMMENTS_N
10,下B-COMMENTS_N 卡I-COMMENTS_N 招B-BANK 行I-BANK
11,保B-COMMENTS_ADJ 底I-COMMENTS_ADJ
12,卡I-COMMENTS_ADJ
13,太B-PRODUCT 厉I-PRODUCT
14,招B-BANK 行I-BANK
15,征B-PRODUCT
16,
17,银I-PRODUCT
18,般I-BANK 发I-BANK 送I-PRODUCT 午B-COMMENTS_N 很B-COMMENTS_ADJ 快I-COMMENTS_ADJ
19,
20,好B-COMMENTS_N 不B-COMMENTS_ADJ
21,
22,提B-COMMENTS_N 额I-COMMENTS_N 额I-COMMENTS_N
23,多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 利B-COMMENTS_N 息I-COMMENTS_N 性B-PRODUCT 概I-PRODUCT 金I-PRODUCT 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ
24,太B-COMMENTS_ADJ
25,额B-COMMENTS_N 度I-COMMENTS_N
26,
27,要I-BANK 额B-COMMENTS_N 度I-COMMENTS_N 低B-COMMENTS_ADJ
28,时I-COMMENTS_N 人I-COMMENTS_ADJ
29,
30,多B-PRODUCT
31,版B-BANK 分B-PRODUCT 出I-PRODUCT
32,卡I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
33,工B-BANK 作I-BANK 公B-PRODUCT 积I-PRODUCT 金I-PRODUCT 积I-PRODUCT 多I-PRODUCT 分B-PRODUCT 期I-PRODUCT 征B-PRODUCT 信I-PRODUCT 征B-PRODUCT 信I-PRODUCT 信B-PRODUCT 用I-PRODUCT
34,卡I-PRODUCT 销I-PRODUCT
35,发I-COMMENTS_ADJ
36,分B-PRODUCT 期I-PRODUCT
37,信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
38,安I-COMMENTS_N 好B-COMMENTS_ADJ 申I-COMMENTS_ADJ 请I-COMMENTS_ADJ
39,白B-PRODUCT 金I-PRODUCT 卡I-PRODUCT
40,招B-BANK 行I-BANK 靠B-COMMENTS_ADJ 谱I-COMMENTS_ADJ
41,接B-PRODUCT 收I-COMMENTS_N 卡I-PRODUCT 属B-COMMENTS_ADJ 分B-BANK
42,神B-COMMENTS_ADJ
43,招B-BANK 行I-BANK
44,
45,浦B-BANK 发I-BANK
46,放I-PRODUCT 上I-COMMENTS_ADJ
47,
48,短B-PRODUCT 速B-COMMENTS_N 额B-COMMENTS_N 度I-COMMENTS_N
